hex_id,local_temp_c,elevation_m
0,27.06756756756757,104.0
1,26.656756756756756,12.0
2,27.18378378378378,77.0
3,23.048648648648648,477.0
4,25.024324324324322,118.0
5,27.36216216216216,9.0
6,22.924324324324324,20.0
7,23.283783783783782,1.0
8,22.135135135135137,128.0
9,22.808108108108108,62.0
10,22.75135135135135,6.0
11,22.721621621621622,1.0
12,23.064864864864866,2.0
13,21.82972972972973,141.0
14,21.4027027027027,203.0
15,21.8972972972973,18.0
16,21.87297297297297,2.0
17,22.043243243243243,8.0
18,23.39189189189189,3.0
19,23.40810810810811,3.0
20,21.51621621621622,190.0
21,21.624324324324323,166.0
22,20.78918918918919,140.0
23,21.472972972972972,15.0
24,21.86216216216216,0.0
25,20.324324324324323,4.0
26,20.88918918918919,10.0
27,21.09189189189189,6.0
28,22.318918918918918,4.0
29,20.456756756756757,232.0
30,20.02162162162162,187.0
31,20.032432432432433,124.0
32,20.41891891891892,96.0
33,20.156756756756756,23.0
34,20.77027027027027,0.0
35,19.78918918918919,7.0
36,19.727027027027027,31.0
37,20.1,12.0
38,20.716216216216218,7.0
39,19.305405405405406,668.0
40,20.12702702702703,673.0
41,19.51891891891892,264.0
42,19.175675675675677,252.0
43,18.82702702702703,205.0
44,19.175675675675677,149.0
45,19.36216216216216,98.0
46,19.43243243243243,29.0
47,19.35675675675676,23.0
48,19.594594594594593,3.0
49,18.762162162162163,0.0
50,19.64324324324324,0.0
51,19.11081081081081,1.0
52,19.56216216216216,0.0
53,18.79189189189189,26.0
54,18.732432432432432,50.0
55,20.043243243243243,7.0
56,17.87297297297297,1049.0
57,16.764864864864865,1020.0
58,18.02972972972973,813.0
59,17.572972972972973,523.0
60,17.58108108108108,571.0
61,16.686486486486487,510.0
62,16.991891891891893,463.0
63,18.55945945945946,186.0
64,18.135135135135137,118.0
65,18.532432432432433,69.0
66,18.616216216216216,15.0
67,17.75135135135135,10.0
68,18.3,0.0
69,18.616216216216216,0.0
70,17.65945945945946,1.0
71,17.383783783783784,2.0
72,18.043243243243243,0.0
73,19.38918918918919,0.0
74,17.20810810810811,6.0
75,17.86756756756757,35.0
76,18.783783783783782,26.0
77,19.57027027027027,0.0
78,14.583783783783785,1634.0
79,13.75945945945946,1452.0
80,14.899999999999999,1443.0
81,16.60810810810811,765.0
82,16.16756756756757,656.0
83,15.52972972972973,681.0
84,16.302702702702703,557.0
85,15.870270270270272,463.0
86,17.735135135135135,191.0
87,18.227027027027027,88.0
88,17.97027027027027,101.0
89,16.451351351351352,33.0
90,17.33243243243243,29.0
91,17.043243243243243,15.0
92,16.754054054054052,16.0
93,17.3,3.0
94,17.25945945945946,0.0
95,16.43783783783784,10.0
96,16.072972972972973,3.0
97,15.872972972972972,24.0
98,16.416216216216217,13.0
99,16.71351351351351,0.0
100,16.345945945945946,14.0
101,15.756756756756756,0.0
102,16.527027027027028,22.0
103,17.18918918918919,51.0
104,17.991891891891893,13.0
105,18.70810810810811,5.0
106,14.97837837837838,1532.0
107,14.181081081081082,1471.0
108,17.15135135135135,990.0
109,17.44864864864865,849.0
110,15.513513513513514,857.0
111,15.28108108108108,741.0
112,15.413513513513513,685.0
113,16.17297297297297,447.0
114,16.58648648648649,311.0
115,16.02972972972973,165.0
116,17.005405405405405,140.0
117,16.705405405405408,79.0
118,15.764864864864863,82.0
119,16.035135135135135,72.0
120,15.92972972972973,81.0
121,15.772972972972974,12.0
122,15.3,107.0
123,15.543243243243245,64.0
124,16.345945945945946,65.0
